,Spieler,Nation,Nationalelf
291,Rafael van der Vaart,['Niederlande'],Niederlande
292,Gerd Zimmermann,['Deutschland'],Deutschland
293,Milivoje Novakovič,['Slowenien'],Slowenien
294,Mark Uth,['Deutschland'],Deutschland
295,Frank Schulz,['Deutschland'],Deutschland
296,Franz Beckenbauer,['Deutschland'],Deutschland
297,Horst Wild,['Deutschland'],Deutschland
298,Wolfgang Vöge,['Deutschland'],Deutschland
299,Henning Jensen,['Dänemark'],Dänemark
300,Wolfgang Sidka,['Deutschland'],Deutschland
301,Bernd Lehmann,['Deutschland'],Deutschland
302,Arne-Larsen Økland,['Norwegen'],Norwegen
303,Thorgan Hazard,['Belgien'],Belgien
304,Patrik Schick,['Tschechien'],Tschechien
305,Erich Maas,['Deutschland'],Deutschland
306,Heinz-Dieter Hasebrink,['Deutschland'],Deutschland
307,Mirko Votava,['Deutschland'],Deutschland
308,Werner Heck,['Deutschland'],Deutschland
309,Sandro Wagner,['Deutschland'],Deutschland
310,Ralf Dusend,['Deutschland'],Deutschland
311,Lucas Alario,"['Argentinien', 'Italien']",Argentinien
312,Karl-Heinz Bührer,['Deutschland'],Deutschland
313,Marek Leśniak,['Polen'],Polen
314,Wolfgang Gayer,['Deutschland'],Deutschland
315,Nicolai Müller,['Deutschland'],Deutschland
316,Roy Präger,['Deutschland'],Deutschland
317,Manfred Bender,['Deutschland'],Deutschland
318,Hugo Almeida,['Portugal'],Portugal
319,Rainer Schütterle,['Deutschland'],Deutschland
320,Ludwig Bründl,['Deutschland'],Deutschland
321,Thomas Kempe,['Deutschland'],Deutschland
322,Gerd Zewe,['Deutschland'],Deutschland
323,Jiří Štajner,['Tschechien'],Tschechien
324,Emanuel Günther,['Deutschland'],Deutschland
325,Andreas Thom,['Deutschland'],Deutschland
326,Dietmar Erler,['Deutschland'],Deutschland
327,Simon Rolfes,['Deutschland'],Deutschland
328,Matthias Sammer,['Deutschland'],Deutschland
329,Thomas Helmer,['Deutschland'],Deutschland
330,Wolfgang Funkel,['Deutschland'],Deutschland
331,Erhard Hofeditz,['Deutschland'],Deutschland
332,Heung-Min Son,['Südkorea'],Südkorea
333,Peter Geyer,['Deutschland'],Deutschland
334,Shinji Kagawa,['Japan'],Japan
335,Thomas Kastenmaier,['Deutschland'],Deutschland
336,Alfred Heiß,['Deutschland'],Deutschland
337,Thorsten Fink,['Deutschland'],Deutschland
338,Yussuf Poulsen,['Dänemark'],Dänemark
339,Didier Ya Konan,"[""Elfenbeinküste""]",Elfenbeinküste
340,Gerhard Zebrowski,['Deutschland'],Deutschland
341,Markus Schupp,['Deutschland'],Deutschland
342,Markus Rosenberg,['Schweden'],Schweden
343,Hans Schulz,['Deutschland'],Deutschland
344,Kurt Niedermayer,['Deutschland'],Deutschland
345,Kurt Pinkall,['Deutschland'],Deutschland
346,Per Røntved,['Dänemark'],Dänemark
347,Florian Niederlechner,['Deutschland'],Deutschland
348,Michael Gregoritsch,['Österreich'],Österreich
349,Tony Woodcock,['England'],England
350,Günter Pröpper,['Deutschland'],Deutschland
351,Dariusz Wosz,['Deutschland'],Deutschland
352,Ásgeir Sigurvinsson,['Island'],Island
353,Arno Steffenhagen,['Deutschland'],Deutschland
354,Jefferson Farfán,['Peru'],Peru
355,Stephan Engels,['Deutschland'],Deutschland
356,Lucas Barrios,"['Paraguay', 'Argentinien']",Paraguay
357,Dieter Krafczyk,['Deutschland'],Deutschland
358,Bernd Schneider,['Deutschland'],Deutschland
359,Flemming Povlsen,['Dänemark'],Dänemark
360,Hannes Bongartz,['Deutschland'],Deutschland
361,Szabolcs Huszti,['Ungarn'],Ungarn
362,Karlheinz Vogt,['Deutschland'],Deutschland
363,Karsten Bäron,['Deutschland'],Deutschland
364,Gerhard Kentschke,['Deutschland'],Deutschland
365,Caspar Memering,['Deutschland'],Deutschland
366,Gonzalo Castro,"['Deutschland', 'Spanien']",Deutschland
367,Klaus Scheer,['Deutschland'],Deutschland
368,Bernd Dürnberger,['Deutschland'],Deutschland
369,Peter Nogly,['Deutschland'],Deutschland
370,Nelson Valdez,['Paraguay'],Paraguay
371,Alassane Plea,"['Frankreich', 'Mali']",Frankreich
372,Zé Roberto,['Brasilien'],Brasilien
373,Horst Bertl,['Deutschland'],Deutschland
374,Luca Toni,['Italien'],Italien
375,Klaus Matischak,['Deutschland'],Deutschland
376,Horst Heese,['Deutschland'],Deutschland
377,Walter Rodekamp,['Deutschland'],Deutschland
378,Werner Balte,['Deutschland'],Deutschland
379,Jürgen Friedrich,['Deutschland'],Deutschland
380,Roberto Firmino,['Brasilien'],Brasilien
381,Buffy Ettmayer,['Österreich'],Österreich
382,Jadon Sancho,"['England', 'Trinidad & Tobago']",England
383,Christian Kulik,['Deutschland'],Deutschland
384,Erik Meijer,['Niederlande'],Niederlande
385,Vahid Hashemian,['Iran'],Iran
386,André Golke,['Deutschland'],Deutschland
387,Karlheinz Pflipsen,['Deutschland'],Deutschland
388,Ata Lameck,['Deutschland'],Deutschland
389,Ralf Falkenmayer,['Deutschland'],Deutschland
390,Papiss Demba Cissé,"['Senegal', 'Frankreich']",Senegal
391,Frank Pagelsdorf,['Deutschland'],Deutschland
392,Michael Frontzeck,['Deutschland'],Deutschland
393,Silvio Meißner,['Deutschland'],Deutschland
394,Karim Bellarabi,"['Deutschland', 'Marokko']",Deutschland
395,Martin Wagner,['Deutschland'],Deutschland
396,Alfreð Finnbogason,['Island'],Island
397,Shinji Okazaki,['Japan'],Japan
398,Heinz-Werner Eggeling,['Deutschland'],Deutschland
399,Christian Ziege,['Deutschland'],Deutschland
400,Horst Heldt,['Deutschland'],Deutschland
401,Leon Goretzka,['Deutschland'],Deutschland
402,Herbert Neumann,['Deutschland'],Deutschland
403,Yunus Malli,"['Deutschland', 'Türkei']",Deutschland
404,Jürgen Glowacz,['Deutschland'],Deutschland
405,Klaus-Dieter Sieloff,['Deutschland'],Deutschland
406,Kai Havertz,['Deutschland'],Deutschland
407,Demir Hotić,['Bosnien-Herzegowina'],Bosnien-Herzegowina
408,Hans Pflügler,['Deutschland'],Deutschland
409,Jupp Kapellmann,['Deutschland'],Deutschland
410,Zvjezdan Misimović,"['Bosnien-Herzegowina', 'Deutschland']",Bosnien-Herzegowina
411,Lothar Kobluhn,['Deutschland'],Deutschland
412,Benno Möhlmann,['Deutschland'],Deutschland
413,Bernardo Romeo,['Argentinien'],Argentinien
414,Gregor Grillemeier,['Deutschland'],Deutschland
415,Paulo Rink,['Deutschland'],Deutschland
416,Vincenzo Grifo,"['Italien', 'Deutschland']",Italien
417,Wolfgang Schüler,['Deutschland'],Deutschland
418,Roland Stegmayer,['Deutschland'],Deutschland
419,Jonathan Schmid,['Frankreich'],Frankreich
420,Ioan Ganea,['Rumänien'],Rumänien
421,Giuseppe Reina,"['Deutschland', 'Italien']",Deutschland
422,Pierre-Michel Lasogga,['Deutschland'],Deutschland
423,Sergej Kirjakow,['Russland'],Russland
424,Uwe Spies,['Deutschland'],Deutschland
425,Alexander Frei,['Schweiz'],Schweiz
426,Karl-Heinz Granitza,['Deutschland'],Deutschland
427,Thomas Christiansen,"['Spanien', 'Dänemark']",Spanien
428,Maximilian Arnold,['Deutschland'],Deutschland
429,Peter Wynhoff,['Deutschland'],Deutschland
430,Jonas Hofmann,['Deutschland'],Deutschland
431,Filip Kostić,['Serbien'],Serbien
432,Reinhold Mathy,['Deutschland'],Deutschland
433,Josef Hickersberger,['Österreich'],Österreich
434,Jürgen Bandura,['Deutschland'],Deutschland
435,Manfred Bockenfeld,['Deutschland'],Deutschland
436,Davie Selke,['Deutschland'],Deutschland
437,Thomas Strunz,['Deutschland'],Deutschland
438,Youri Mulder,['Niederlande'],Niederlande
439,Emile Mpenza,"['Belgien', 'DR Kongo']",Belgien
440,Manfred Ritschel,['Deutschland'],Deutschland
441,Dieter Brei,['Deutschland'],Deutschland
442,Marcel Sabitzer,['Österreich'],Österreich
443,Reiner Hollmann,['Deutschland'],Deutschland
444,Heinz Hornig,['Deutschland'],Deutschland
445,Marcus Marin,['Deutschland'],Deutschland
446,Benjamin Lauth,['Deutschland'],Deutschland
447,Willy Reitgaßl,['Deutschland'],Deutschland
448,Jürgen Schütz,['Deutschland'],Deutschland
449,Tim Borowski,['Deutschland'],Deutschland
450,Jörg Böhme,['Deutschland'],Deutschland
451,Waldemar Gerhardt,['Deutschland'],Deutschland
452,Kevin Keegan,['England'],England
453,Victor Agali,['Nigeria'],Nigeria
454,Yıldıray Baştürk,"['Türkei', 'Deutschland']",Türkei
455,Manfred Weidmann,['Deutschland'],Deutschland
456,Heinz van Haaren,['Deutschland'],Deutschland
457,Breel Embolo,['Schweiz'],Schweiz
458,Klaus Ackermann,['Deutschland'],Deutschland
459,Idriz Hošić,['Bosnien-Herzegowina'],Bosnien-Herzegowina
460,Emil Forsberg,['Schweden'],Schweden
461,Andreas Müller,['Deutschland'],Deutschland
462,Markus Beierle,['Deutschland'],Deutschland
463,Lewan Kobiaschwili,['Georgien'],Georgien
464,Lincoln,['Brasilien'],Brasilien
465,Marek Mintál,['Slowakei'],Slowakei
466,Alexander Iaschwili,['Georgien'],Georgien
467,Berti Vogts,['Deutschland'],Deutschland
468,Horst Haug,['Deutschland'],Deutschland
469,Admir Mehmedi,"['Schweiz', 'Nordmazedonien']",Schweiz
470,Detlev Szymanek,['Deutschland'],Deutschland
471,Tomislav Marić,['Kroatien'],Kroatien
472,Roque Santa Cruz,"['Paraguay', 'Spanien']",Paraguay
473,Daniel Borimirow,['Bulgarien'],Bulgarien
474,Klaus Gerwien,['Deutschland'],Deutschland
475,Adrian Knup,['Schweiz'],Schweiz
