,Spieler,Nation,Nationalelf
966,Dimitrios Moutas,['Griechenland'],Griechenland
967,Uwe Harttgen,['Deutschland'],Deutschland
968,Norbert Hofmann,['Deutschland'],Deutschland
969,Michael Sternkopf,['Deutschland'],Deutschland
970,Peter Wulf,['Deutschland'],Deutschland
971,Marcel Risse,['Deutschland'],Deutschland
972,Markus Feulner,['Deutschland'],Deutschland
973,Dietmar Klinger,['Deutschland'],Deutschland
974,Ricardo Rodríguez,"['Schweiz', 'Spanien']",Schweiz
975,Herbert Heidenreich,['Deutschland'],Deutschland
976,Rüdiger Mielke,['Deutschland'],Deutschland
977,Philipp Max,['Deutschland'],Deutschland
978,Luiz Gustavo,['Brasilien'],Brasilien
979,Andreas Buck,['Deutschland'],Deutschland
980,Jorginho,['Brasilien'],Brasilien
981,Hans-Georg Dulz,['Deutschland'],Deutschland
982,Zoubaïer Baya,['Tunesien'],Tunesien
983,Thorsten Legat,['Deutschland'],Deutschland
984,Marco Haber,['Deutschland'],Deutschland
985,Stefan Studer,['Deutschland'],Deutschland
986,Rade Bogdanovic,['Serbien'],Serbien
987,Mirosław Okoński,['Polen'],Polen
988,Felix Klaus,['Deutschland'],Deutschland
989,Änis Ben-Hatira,"['Tunesien', 'Deutschland']",Tunesien
990,Vasile Miriuţă,"['Ungarn', 'Rumänien']",Ungarn
991,Gerd Dais,['Deutschland'],Deutschland
992,Hans Schumacher,['Deutschland'],Deutschland
993,Pawel Pogrebnjak,['Russland'],Russland
994,Hany Ramzy,['Ägypten'],Ägypten
995,Wolfgang Dremmler,['Deutschland'],Deutschland
996,Slawomir Majak,['Polen'],Polen
997,Jan Åge Fjørtoft,['Norwegen'],Norwegen
998,Alexander Borodjuk,['Russland'],Russland
999,Dirk Hupe,['Deutschland'],Deutschland
1000,Lukas Rupp,['Deutschland'],Deutschland
1001,Hans-Otto Peters,['Deutschland'],Deutschland
1002,Hendrik Herzog,['Deutschland'],Deutschland
1003,Erwin Stein,['Deutschland'],Deutschland
1004,Jannik Vestergaard,['Dänemark'],Dänemark
1005,Winfried Richter,['Deutschland'],Deutschland
1006,Marko Arnautović,['Österreich'],Österreich
1007,Marcus Ingvartsen,['Dänemark'],Dänemark
1008,Georgi Donkow,['Deutschland'],Deutschland
1009,Juri Sawitschew,['Russland'],Russland
1010,Danijel Ljuboja,['Serbien'],Serbien
1011,Pasi Rautiainen,['Finnland'],Finnland
1012,Oliver Kreuzer,['Deutschland'],Deutschland
1013,Horst Berg,['Deutschland'],Deutschland
1014,Christian Timm,['Deutschland'],Deutschland
1015,Thomas Reis,['Deutschland'],Deutschland
1016,Holger Trimhold,['Deutschland'],Deutschland
1017,Gilberto,['Brasilien'],Brasilien
1018,Sami Khedira,"['Deutschland', 'Tunesien']",Deutschland
1019,Arne Friedrich,['Deutschland'],Deutschland
1020,James Rodríguez,['Kolumbien'],Kolumbien
1021,Ralf Balzis,['Deutschland'],Deutschland
1022,Uwe Weidemann,['Deutschland'],Deutschland
1023,Goncalo Paciencia,['Portugal'],Portugal
1024,Klaus Fichtel,['Deutschland'],Deutschland
1025,Norbert Fruck,['Deutschland'],Deutschland
1026,Marc Oechler,['Deutschland'],Deutschland
1027,Eugen Polanski,"['Polen', 'Deutschland']",Polen
1028,Antônio da Silva,['Brasilien'],Brasilien
1029,Mikael Forssell,['Finnland'],Finnland
1030,Martin Fenin,['Tschechien'],Tschechien
1031,Reiner Wirsching,['Deutschland'],Deutschland
1032,Willi Hoffmann,['Deutschland'],Deutschland
1033,Tomáš Pekhart,['Tschechien'],Tschechien
1034,Thomas Stickroth,['Deutschland'],Deutschland
1035,Frank Heinemann,['Deutschland'],Deutschland
1036,Philipp Lahm,['Deutschland'],Deutschland
1037,Hans-Jürgen Sperlich,['Deutschland'],Deutschland
1038,Alexander Hleb,['Belarus'],Belarus
1039,Tomasz Hajto,['Polen'],Polen
1040,Mike Frantz,['Deutschland'],Deutschland
1041,Matheus Cunha,['Brasilien'],Brasilien
1042,Simon Zoller,['Deutschland'],Deutschland
1043,Andrzej Rudy,['Polen'],Polen
1044,Michael Harforth,['Deutschland'],Deutschland
1045,Hans-Jürgen Ferdinand,['Deutschland'],Deutschland
1046,Nico Braun,['Luxemburg'],Luxemburg
1047,Jonathan Burkardt,['Deutschland'],Deutschland
1048,Peter Gutzeit,['Deutschland'],Deutschland
1049,Youri Djorkaeff,"['Frankreich', 'Armenien']",Frankreich
1050,Michael Zeyer,['Deutschland'],Deutschland
1051,Viorel Năstase,['Rumänien'],Rumänien
1052,Florian Weichert,['Deutschland'],Deutschland
1053,Manfred Schwabl,['Deutschland'],Deutschland
1054,Isaac Boakye,['Ghana'],Ghana
1055,Klaus Theiss,['Deutschland'],Deutschland
1056,Christian Rahn,['Deutschland'],Deutschland
1057,Salif Sané,"['Senegal', 'Frankreich']",Senegal
1058,Hans Weiner,['Deutschland'],Deutschland
1059,Naby Keita,['Guinea'],Guinea
1060,Radoslav Látal,['Tschechien'],Tschechien
1061,Steven Zuber,['Schweiz'],Schweiz
1062,Hubert Schmitz,['Deutschland'],Deutschland
1063,Alexander Esswein,['Deutschland'],Deutschland
1064,Günter Güttler,['Deutschland'],Deutschland
1065,Gerhard Grau,['Deutschland'],Deutschland
1066,Matthias Lehmann,['Deutschland'],Deutschland
1067,Lothar Dittmer,['Deutschland'],Deutschland
1068,Jörg Bach,['Deutschland'],Deutschland
1069,Frank Benatelli,['Deutschland'],Deutschland
1070,Peter Lübeke,['Deutschland'],Deutschland
1071,Carlos Eduardo,['Brasilien'],Brasilien
1072,Charles Akonnor,"['Ghana', 'Deutschland']",Ghana
1073,Roel Brouwers,['Niederlande'],Niederlande
1074,Mathias Hemmersbach,['Deutschland'],Deutschland
1075,Uwe Jähnig,['Deutschland'],Deutschland
1076,Joachim Philipkowski,['Deutschland'],Deutschland
1077,Konstantin Rausch,"['Deutschland', 'Russland']",Deutschland
1078,Karl-Heinz Mülhausen,['Deutschland'],Deutschland
1079,Bart Goor,['Belgien'],Belgien
1080,Timothy Chandler,"['USA', 'Deutschland']",USA
1081,Anders Giske,['Norwegen'],Norwegen
1082,Filip Daems,['Belgien'],Belgien
1083,Dong-Won Ji,['Südkorea'],Südkorea
1084,Alexandru Maxim,['Rumänien'],Rumänien
1085,Markus Osthoff,['Deutschland'],Deutschland
1086,Niklas Süle,['Deutschland'],Deutschland
1087,Carsten Wolters,['Deutschland'],Deutschland
1088,Sven Kmetsch,['Deutschland'],Deutschland
1089,Günter Sebert,['Deutschland'],Deutschland
1090,Christian Pulisic,['USA'],USA
1091,Martín Demichelis,"['Argentinien', 'Italien']",Argentinien
1092,Martin Stranzl,['Österreich'],Österreich
1093,Collin Benjamin,['Namibia'],Namibia
1094,Ruben Vargas,"['Schweiz', 'Dom. Republik']",Schweiz
1095,Radmilo Mihajlović,"['Bosnien-Herzegowina', 'Serbien']",Bosnien-Herzegowina
1096,Karl Berger,['Deutschland'],Deutschland
1097,Nico Jan Hoogma,['Niederlande'],Niederlande
1098,Rudolf Stenzel,['Deutschland'],Deutschland
1099,Holger Aden,['Deutschland'],Deutschland
1100,Stefan Bell,['Deutschland'],Deutschland
1101,Laurentiu Reghecampf,['Rumänien'],Rumänien
1102,Timo Lange,['Deutschland'],Deutschland
1103,Heinz Versteeg,['Niederlande'],Niederlande
1104,Thomas Schaaf,['Deutschland'],Deutschland
1105,Dieter Nüssing,['Deutschland'],Deutschland
1106,Marcel Schäfer,['Deutschland'],Deutschland
1107,Marc Keller,['Frankreich'],Frankreich
1108,Günter Keute,['Deutschland'],Deutschland
1109,Fred Schaub,['Deutschland'],Deutschland
1110,Martin Groth,['Deutschland'],Deutschland
1111,Pavel Hapal,['Tschechien'],Tschechien
1112,Florian Wirtz,['Deutschland'],Deutschland
1113,Kenan Karaman,"['Türkei', 'Deutschland']",Türkei
1114,Burkhard Segler,['Deutschland'],Deutschland
1115,Georg Damjanoff,['Deutschland'],Deutschland
1116,Vlad Munteanu,['Rumänien'],Rumänien
1117,Michael Bella,['Deutschland'],Deutschland
1118,Bernd Dierßen,['Deutschland'],Deutschland
1119,Willi Giesemann,['Deutschland'],Deutschland
1120,Burkhard Reich,['Deutschland'],Deutschland
1121,Mesut Özil,['Deutschland'],Deutschland
1122,Christian Tiffert,['Deutschland'],Deutschland
1123,Włodzimierz Smolarek,['Polen'],Polen
1124,Ilija Zavišić,['Serbien'],Serbien
1125,Joel Pohjanpalo,['Finnland'],Finnland
1126,Albert Bunjaku,['Kosovo'],Kosovo
1127,Werner Gräber,['Deutschland'],Deutschland
1128,Valdas Ivanauskas,['Litauen'],Litauen
1129,Michael Blättel,['Deutschland'],Deutschland
1130,Rigobert Gruber,['Deutschland'],Deutschland
1131,Robin Knoche,['Deutschland'],Deutschland
1132,Moritz Hartmann,['Deutschland'],Deutschland
1133,Michael Tönnies,['Deutschland'],Deutschland
1134,Marko Babić,['Kroatien'],Kroatien
1135,Siegfried Bronnert,['Deutschland'],Deutschland
1136,Ramy Bensebaini,['Algerien'],Algerien
1137,Igor Pamić,['Kroatien'],Kroatien
1138,Zoltán Sebescen,['Deutschland'],Deutschland
1139,Dieter Schwemmle,['Deutschland'],Deutschland
1140,Thomas Wolter,['Deutschland'],Deutschland
1141,Egon Köhnen,['Deutschland'],Deutschland
1142,Cezary Tobollik,['Polen'],Polen
1143,Manfred Wuttich,['Deutschland'],Deutschland
1144,Egon Flad,['Deutschland'],Deutschland
1145,Henrik Agerbeck,['Dänemark'],Dänemark
1146,Markus Babbel,['Deutschland'],Deutschland
1147,Harald Braner,['Deutschland'],Deutschland
1148,Ralf Loose,['Deutschland'],Deutschland
1149,Ruud van Nistelrooy,['Niederlande'],Niederlande
1150,Rudi Assauer,['Deutschland'],Deutschland
1151,Markus Münch,['Deutschland'],Deutschland
1152,Ibrahima Traoré,"['Guinea', 'Frankreich']",Guinea
1153,Benedikt Höwedes,['Deutschland'],Deutschland
1154,Erich Meier,['Deutschland'],Deutschland
1155,Manfred Drexler,['Deutschland'],Deutschland
1156,Maik Franz,['Deutschland'],Deutschland
1157,Peter Hermann,['Deutschland'],Deutschland
1158,Jörg Dittwar,['Deutschland'],Deutschland
1159,Fritz Fuchs,['Deutschland'],Deutschland
1160,Fred Hoff,['Deutschland'],Deutschland
1161,Stefan Reinartz,['Deutschland'],Deutschland
1162,Bernd Wehmeyer,['Deutschland'],Deutschland
1163,Dieter Weinkauff,['Deutschland'],Deutschland
1164,Jean-Kévin Augustin,"['Frankreich', 'Haiti']",Frankreich
1165,Rune Bratseth,['Norwegen'],Norwegen
1166,Jonas Hector,['Deutschland'],Deutschland
1167,Miloš Jojić,['Serbien'],Serbien
1168,Dédé,['Brasilien'],Brasilien
1169,Nabil Bentaleb,"['Algerien', 'Frankreich']",Algerien
1170,Klaus Hänel,['Deutschland'],Deutschland
1171,Uwe Rösler,['Deutschland'],Deutschland
1172,Marius Wolf,['Deutschland'],Deutschland
1173,Ivan Rakitić,"['Kroatien', 'Schweiz']",Kroatien
1174,Willi Sturm,['Deutschland'],Deutschland
1175,Marko Rehmer,['Deutschland'],Deutschland
1176,Amine Harit,['Marokko'],Marokko
1177,Uwe Klimaschefski,['Deutschland'],Deutschland
1178,Levin Öztunali,['Deutschland'],Deutschland
1179,Krzysztof Piatek,['Polen'],Polen
1180,Martin Kübler,['Deutschland'],Deutschland
1181,Uli Stielike,['Deutschland'],Deutschland
1182,Fred Heiser,['Deutschland'],Deutschland
1183,Bernd Martin,['Deutschland'],Deutschland
1184,Manfred Cremer,['Deutschland'],Deutschland
1185,Michael Schjønberg,['Dänemark'],Dänemark
1186,Claus Brune,['Deutschland'],Deutschland
1187,Wolfgang Trapp,['Deutschland'],Deutschland
1188,Bastian Reinhardt,['Deutschland'],Deutschland
1189,Caiuby,['Brasilien'],Brasilien
1190,Holger Gaißmayer,['Deutschland'],Deutschland
1191,Torsten Gütschow,['Deutschland'],Deutschland
1192,Dan Corneliusson,['Schweden'],Schweden
1193,Ridle Baku,['Deutschland'],Deutschland
1194,Emre Can,"['Deutschland', 'Türkei']",Deutschland
1195,Peter Hayduk,['Deutschland'],Deutschland
1196,Dante,['Brasilien'],Brasilien
1197,Gerd Saborowski,['Deutschland'],Deutschland
1198,Michael Fink,['Deutschland'],Deutschland
1199,Christian Giménez,"['Argentinien', 'Italien']",Argentinien
1200,John Anthony Brooks,"['USA', 'Deutschland']",USA
1201,Georg Niedermeier,['Deutschland'],Deutschland
1202,Abdelaziz Ahanfouf,"['Marokko', 'Deutschland']",Marokko
1203,Yannick Gerhardt,['Deutschland'],Deutschland
1204,Janik Haberer,['Deutschland'],Deutschland
1205,Gustav Flachenecker,['Deutschland'],Deutschland
1206,Heiko Bonan,['Deutschland'],Deutschland
1207,Helmut Schröder,['Deutschland'],Deutschland
1208,Davy Klaassen,['Niederlande'],Niederlande
1209,Marko Marin,['Deutschland'],Deutschland
1210,Marco Streller,['Schweiz'],Schweiz
1211,Thomas Reichenberger,['Deutschland'],Deutschland
1212,Norbert Elgert,['Deutschland'],Deutschland
1213,Rafinha,['Brasilien'],Brasilien
1214,Ralf Kohl,['Deutschland'],Deutschland
1215,Herbert Scheller,['Deutschland'],Deutschland
1216,Jürgen Mohr,['Deutschland'],Deutschland
1217,Daniel Stendel,['Deutschland'],Deutschland
1218,Erwin Waldner,['Deutschland'],Deutschland
1219,Matthias Breitkreutz,['Deutschland'],Deutschland
1220,Jens Scharping,['Deutschland'],Deutschland
1221,Fabian Ernst,['Deutschland'],Deutschland
1222,Maximilian Eggestein,['Deutschland'],Deutschland
1223,Roda Antar,['Libanon'],Libanon
1224,Torsten Wohlert,['Deutschland'],Deutschland
1225,Helmut Faeder,['Deutschland'],Deutschland
1226,Karlheinz Meininger,['Deutschland'],Deutschland
1227,Uwe Neuhaus,['Deutschland'],Deutschland
1228,Jean-Paul Boëtius,"['Niederlande', 'Suriname']",Niederlande
1229,Xherdan Shaqiri,"['Schweiz', 'Kosovo']",Schweiz
1230,Jacek Dembiński,['Polen'],Polen
1231,Jairo Samperio,['Spanien'],Spanien
1232,Fernando Meira,['Portugal'],Portugal
1233,Mahmoud Dahoud,"['Deutschland', 'Syrien']",Deutschland
1234,Daniel Brosinski,['Deutschland'],Deutschland
1235,Heiko Scholz,['Deutschland'],Deutschland
1236,Werner Biskup,['Deutschland'],Deutschland
1237,Matthias Bruns,['Deutschland'],Deutschland
1238,Norbert Eder,['Deutschland'],Deutschland
1239,Wolfgang Sühnholz,"['USA', 'Deutschland']",USA
1240,Corentin Tolisso,"['Frankreich', 'Togo']",Frankreich
1241,Marco Gebhardt,['Deutschland'],Deutschland
1242,Mark van Bommel,['Niederlande'],Niederlande
1243,Alessandro Schöpf,['Österreich'],Österreich
1244,Nebojsa Krupnikovic,['Serbien'],Serbien
1245,Winfried Berkemeier,['Deutschland'],Deutschland
1246,Joris van Hout,['Belgien'],Belgien
1247,Elkin Soto,['Kolumbien'],Kolumbien
1248,Thomas Meggle,['Deutschland'],Deutschland
1249,Frank Verlaat,['Niederlande'],Niederlande
1250,Walter Hohnhausen,['Deutschland'],Deutschland
1251,Dani Olmo,['Spanien'],Spanien
1252,Waldemar Słomiany,['Polen'],Polen
1253,Conny Torstensson,['Schweden'],Schweden
1254,Patrik Andersson,['Schweden'],Schweden
1255,Edu,['Brasilien'],Brasilien
1256,Bernd Schmidt,['Deutschland'],Deutschland
1257,Jeff Strasser,['Luxemburg'],Luxemburg
1258,Rainer Schönwälder,['Deutschland'],Deutschland
1259,Fernando Baiano,"['Brasilien', 'Spanien']",Brasilien
1260,André Trulsen,['Deutschland'],Deutschland
1261,Harry de Vlugt,['Niederlande'],Niederlande
1262,Dietmar Hirsch,['Deutschland'],Deutschland
1263,Jan-Ingwer Callsen-Bracker,['Deutschland'],Deutschland
1264,Peter Krobbach,['Deutschland'],Deutschland
1265,Egon Milder,['Deutschland'],Deutschland
1266,Wladimir Bestschastnych,['Russland'],Russland
1267,Jürgen Gronau,['Deutschland'],Deutschland
1268,Manfred Dubski,['Deutschland'],Deutschland
1269,Marcel Halstenberg,['Deutschland'],Deutschland
1270,Radosław Gilewicz,['Polen'],Polen
1271,Hermann Bredenfeld,['Deutschland'],Deutschland
1272,Marijan Kovačević,"['Kroatien', 'Deutschland']",Kroatien
1273,Mazinho,['Brasilien'],Brasilien
1274,Jordan Letschkow,['Bulgarien'],Bulgarien
1275,Jamal Musiala,['Deutschland'],Deutschland
1276,Ruggiero Rizzitelli,['Italien'],Italien
1277,Thomas Kristl,['Deutschland'],Deutschland
1278,Munas Dabbur,['Israel'],Israel
1279,Cícero,['Brasilien'],Brasilien
1280,Raimund Krauth,['Deutschland'],Deutschland
1281,Heiko Gerber,['Deutschland'],Deutschland
1282,Eljero Elia,"['Niederlande', 'Suriname']",Niederlande
1283,Emerson,['Brasilien'],Brasilien
1284,Grischa Prömel,['Deutschland'],Deutschland
1285,Nico Claesen,['Belgien'],Belgien
1286,Sebastian Rode,['Deutschland'],Deutschland
1287,Silas Katompa Mvumpa,['DR Kongo'],DR Kongo
1288,Otto Luttrop,['Deutschland'],Deutschland
1289,Heiner Baltes,['Deutschland'],Deutschland
1290,Karim Haggui,"['Tunesien', 'Deutschland']",Tunesien
1291,Joshua Sargent,['USA'],USA
1292,Denis Zakaria,['Schweiz'],Schweiz
1293,Roger Claessen,['Belgien'],Belgien
1294,Jens Nowotny,['Deutschland'],Deutschland
1295,Guido Hoffmann,['Deutschland'],Deutschland
1296,Jürgen Neumann,['Deutschland'],Deutschland
1297,Otto Addo,['Deutschland'],Deutschland
1298,Manasseh Ishiaku,['Nigeria'],Nigeria
1299,Alain Sutter,['Schweiz'],Schweiz
1300,Egon Schmitt,['Deutschland'],Deutschland
1301,Lajos Détári,['Ungarn'],Ungarn
1302,Thomas Delaney,"['Dänemark', 'USA']",Dänemark
1303,Albert Streit,['Deutschland'],Deutschland
1304,Christian Breuer,['Deutschland'],Deutschland
1305,Ryszard Cyroń,['Polen'],Polen
1306,Adolfo Valencia,['Kolumbien'],Kolumbien
1307,Marcel Heller,['Deutschland'],Deutschland
1308,Thorben Marx,['Deutschland'],Deutschland
1309,Frank Türr,['Deutschland'],Deutschland
1310,Daichi Kamada,['Japan'],Japan
1311,Timmy Simons,['Belgien'],Belgien
1312,Knut Reinhardt,['Deutschland'],Deutschland
1313,Günter Drews,['Deutschland'],Deutschland
1314,Christian Fuchs,['Österreich'],Österreich
1315,Helmut Gulich,['Deutschland'],Deutschland
1316,Rico Steinmann,['Deutschland'],Deutschland
1317,Detlev Lauscher,['Deutschland'],Deutschland
1318,Markus Kranz,['Deutschland'],Deutschland
1319,Søren Larsen,['Dänemark'],Dänemark
1320,Wilfried Trenkel,['Deutschland'],Deutschland
1321,Rob Friend,['Kanada'],Kanada
1322,Manfred Greif,['Deutschland'],Deutschland
1323,Norbert Siegmann,['Deutschland'],Deutschland
1324,Robert Andrich,['Deutschland'],Deutschland
1325,Jürgen Rumor,['Deutschland'],Deutschland
1326,Andreas Merkle,['Deutschland'],Deutschland
1327,Detlev Dammeier,['Deutschland'],Deutschland
1328,Ellyes Skhiri,['Tunesien'],Tunesien
1329,Branko Oblak,['Slowenien'],Slowenien
1330,René Schneider,['Deutschland'],Deutschland
1331,Theodor Hoffmann,['Deutschland'],Deutschland
1332,Waleri Schmarow,['Russland'],Russland
1333,Håvard Nordtveit,['Norwegen'],Norwegen
1334,Nikos Liberopoulos,['Griechenland'],Griechenland
1335,Michael Bradley,['USA'],USA
1336,Helmut Huttary,['Deutschland'],Deutschland
1337,Axel Witsel,"['Belgien', 'Martinique']",Belgien
1338,Oliver Bierhoff,['Deutschland'],Deutschland
1339,Hans-Günter Etterich,['Deutschland'],Deutschland
1340,Jürgen Kurbjuhn,['Deutschland'],Deutschland
1341,Alexander Schur,['Deutschland'],Deutschland
1342,Marco van Hoogdalem,['Niederlande'],Niederlande
1343,Hans van de Haar,['Niederlande'],Niederlande
1344,Peter Blusch,['Deutschland'],Deutschland
1345,Uwe Hahn,['Deutschland'],Deutschland
1346,Rudolf Nafziger,['Deutschland'],Deutschland
1347,Johannes Flum,['Deutschland'],Deutschland
1348,Roland Weida,['Deutschland'],Deutschland
1349,Lukas Klostermann,['Deutschland'],Deutschland
1350,Bobby Wood,['USA'],USA
1351,Mirko Dickhaut,['Deutschland'],Deutschland
1352,Boris Živković,['Kroatien'],Kroatien
1353,Jonas Kamper,['Dänemark'],Dänemark
1354,Simon Terodde,['Deutschland'],Deutschland
1355,Massimilian Porcello,"['Deutschland', 'Italien']",Deutschland
1356,Reinhard Majgl,['Deutschland'],Deutschland
1357,Per Nilsson,['Schweden'],Schweden
1358,Ulrich Bittorf,['Deutschland'],Deutschland
1359,Juan,['Brasilien'],Brasilien
1360,Karsten Surmann,['Deutschland'],Deutschland
1361,Mathew Leckie,['Australien'],Australien
1362,Chris,"['Brasilien', 'Italien']",Brasilien
1363,Michael Lusch,['Deutschland'],Deutschland
1364,Julian Schuster,['Deutschland'],Deutschland
1365,Ralf Sievers,['Deutschland'],Deutschland
1366,Willi Dürrschnabel,['Deutschland'],Deutschland
1367,Wilhelm Wrenger,['Deutschland'],Deutschland
1368,Christoph Kramer,['Deutschland'],Deutschland
1369,Ioan Lupescu,['Rumänien'],Rumänien
1370,Ion Vlădoiu,['Rumänien'],Rumänien
1371,Martin Schneider,['Deutschland'],Deutschland
1372,August Starek,['Österreich'],Österreich
1373,Meinolf Koch,['Deutschland'],Deutschland
1374,Tommy Bechmann,['Dänemark'],Dänemark
1375,Wolfgang Pohl,['Deutschland'],Deutschland
1376,Karl-Heinz Krott,['Deutschland'],Deutschland
1377,Gert Trinklein,['Deutschland'],Deutschland
1378,Martin Trieb,['Deutschland'],Deutschland
1379,Krzysztof Nowak,['Polen'],Polen
1380,Alan McInally,['Schottland'],Schottland
1381,Martin Lanig,['Deutschland'],Deutschland
1382,Sebastian Prödl,['Österreich'],Österreich
1383,Ivo Ulich,['Tschechien'],Tschechien
1384,Uwe Scherr,['Deutschland'],Deutschland
1385,Slobodan Komljenovic,"['Serbien', 'Deutschland']",Serbien
1386,Mimoun Azaouagh,['Deutschland'],Deutschland
1387,Fred Hesse,['Deutschland'],Deutschland
1388,Ion Ionescu,['Rumänien'],Rumänien
1389,Thomas Seeliger,['Deutschland'],Deutschland
1390,Willibert Kremer,['Deutschland'],Deutschland
1391,Karl-Heinz Bechmann,['Deutschland'],Deutschland
1392,Hans-Joachim Altendorff,['Deutschland'],Deutschland
1393,Michael Dusek,['Deutschland'],Deutschland
1394,Aristide Bancé,"['Burkina Faso', ""Elfenbeinküste""]",Burkina Faso
1395,Martin Spanring,['Deutschland'],Deutschland
1396,Sascha Riether,['Deutschland'],Deutschland
1397,Tita,['Brasilien'],Brasilien
1398,Zoltán Varga,['Ungarn'],Ungarn
1399,Adhemar,['Brasilien'],Brasilien
1400,Charles Aranguiz,['Chile'],Chile
1401,Kazuo Ozaki,['Japan'],Japan
1402,Aytaç Sulu,"['Deutschland', 'Türkei']",Deutschland
1403,Co Prins,['Niederlande'],Niederlande
1404,Nico Elvedi,['Schweiz'],Schweiz
1405,Renato Augusto,['Brasilien'],Brasilien
1406,Harald Karger,['Deutschland'],Deutschland
1407,Douglas Costa,['Brasilien'],Brasilien
1408,Peter Reichel,['Deutschland'],Deutschland
1409,Edmund Becker,['Deutschland'],Deutschland
1410,Egon Coordes,['Deutschland'],Deutschland
1411,Berti Kraus,['Deutschland'],Deutschland
1412,Michael Geiger,['Deutschland'],Deutschland
1413,Rolf-Christel Guié-Mien,['Kongo'],Kongo
1414,Hans Linsenmaier,['Deutschland'],Deutschland
1415,Alexander Strehmel,['Deutschland'],Deutschland
1416,Mitchell Weiser,['Deutschland'],Deutschland
1417,Alois Reinhardt,['Deutschland'],Deutschland
1418,Dieter Meyer,['Deutschland'],Deutschland
1419,Rudolf Zeiser,['Deutschland'],Deutschland
1420,Hermann Lulka,['Deutschland'],Deutschland
1421,Lutz Eigendorf,['Deutschland'],Deutschland
1422,Gylfi Sigurðsson,['Island'],Island
1423,Gert Fröhlich,['Deutschland'],Deutschland
1424,Jérôme Gondorf,['Deutschland'],Deutschland
1425,Philipp Lienhart,['Österreich'],Österreich
1426,Marc-Oliver Kempf,['Deutschland'],Deutschland
1427,Moussa Niakhaté,['Frankreich'],Frankreich
1428,Georginio Rutter,['Frankreich'],Frankreich
1429,Eric Wynalda,['USA'],USA
1430,Marek Nikl,['Tschechien'],Tschechien
1431,Andreas Kaiser,['Deutschland'],Deutschland
1432,Juri Maksimow,['Ukraine'],Ukraine
1433,Rolf Kucharski,['Deutschland'],Deutschland
1434,Hannes Linßen,['Deutschland'],Deutschland
1435,Michael Polywka,['Deutschland'],Deutschland
1436,Peter Hidien,['Deutschland'],Deutschland
1437,Stefan Reisch,['Deutschland'],Deutschland
1438,Jan Morávek,['Tschechien'],Tschechien
1439,Vinicius,"['Brasilien', 'Italien']",Brasilien
1440,Gustav Witlatschil,['Deutschland'],Deutschland
1441,Jan Bartram,['Dänemark'],Dänemark
1442,Domi Kumbela,['Kongo'],Kongo
1443,Marko Grujic,['Serbien'],Serbien
1444,Jens Jeremies,['Deutschland'],Deutschland
1445,Christian Günter,['Deutschland'],Deutschland
1446,Jarosław Studziżba,['Polen'],Polen
1447,Sergej Juran,"['Russland', 'Portugal']",Russland
1448,Milan Fukal,['Tschechien'],Tschechien
1449,Helmut Littek,['Deutschland'],Deutschland
1450,Detlef Pirsig,['Deutschland'],Deutschland
1451,Peter van Houdt,['Belgien'],Belgien
1452,Karsten Baumann,['Deutschland'],Deutschland
1453,Dirk Anders,['Deutschland'],Deutschland
1454,Woo-Yeong Jeong,['Südkorea'],Südkorea
1455,Erwin Hadewicz,['Deutschland'],Deutschland
1456,Miroslav Karhan,['Slowakei'],Slowakei
1457,Michael Schütz,['Deutschland'],Deutschland
1458,Alfred Glenski,['Deutschland'],Deutschland
1459,Serdar Taşçı,['Deutschland'],Deutschland
1460,Roland Peitsch,['Deutschland'],Deutschland
1461,Lukas Hinterseer,['Österreich'],Österreich
1462,Peter Anders,['Deutschland'],Deutschland
1463,Armin Görtz,['Deutschland'],Deutschland
1464,Ralf Geilenkirchen,['Deutschland'],Deutschland
1465,Steffen Freund,['Deutschland'],Deutschland
1466,Hans-Jürgen Wloka,['Deutschland'],Deutschland
1467,André Bistram,['Deutschland'],Deutschland
1468,Roland Hattenberger,['Österreich'],Österreich
1469,Alfred Schön,['Deutschland'],Deutschland
1470,Javi Martínez,['Spanien'],Spanien
1471,Masaya Okugawa,['Japan'],Japan
1472,Hans-Werner Moser,['Deutschland'],Deutschland
1473,Obite Evan N'Dicka,['Frankreich'],Frankreich
1474,Robert Prytz,['Schweden'],Schweden
1475,Jürgen Gelsdorf,['Deutschland'],Deutschland
1476,Jermaine Jones,"['USA', 'Deutschland']",USA
1477,Werner Lungwitz,['Deutschland'],Deutschland
1478,Tinga,['Brasilien'],Brasilien
1479,Kevin Kampl,['Slowenien'],Slowenien
1480,Peter Ehmke,['Deutschland'],Deutschland
1481,Joshua Kennedy,['Australien'],Australien
1482,Sergio Córdova,['Venezuela'],Venezuela
1483,Almog Cohen,['Israel'],Israel
1484,Hans Arnold,['Deutschland'],Deutschland
1485,Marco Weißhaupt,['Deutschland'],Deutschland
1486,Günther Schäfer,['Deutschland'],Deutschland
1487,Franz Oberacher,['Österreich'],Österreich
1488,Reinhold Hintermaier,['Österreich'],Österreich
1489,Klaus Bruckmann,['Deutschland'],Deutschland
1490,Christian Brand,['Deutschland'],Deutschland
1491,Michael Schulz,['Deutschland'],Deutschland
1492,Hoppy Kurrat,['Deutschland'],Deutschland
1493,Oliver Westerbeek,['Deutschland'],Deutschland
