Platz,Spieler,Tore,Elfmeter
136,Ryan Babel,5,1
136,Christof Babatz,5,1
136,Gunther Metz,5,1
136,Élson,5,1
136,Heiko Peschke,5,2
136,Florian Bruns,5,2
136,Stefan Blank,5,2
136,Michael Kostner,5,3
136,Mihai Tararache,5,4
137,Juan Menseguez,4,0
137,Matthieu Delpierre,4,0
137,Igor Dobrowolski,4,0
137,Michel Bastos,4,0
137,Zdravko Drinčić,4,0
137,Stefan Lainer,4,0
137,Marcel Ndjeng,4,0
137,Bernd Schindler,4,0
137,Hans-Uwe Pilz,4,0
137,Aymen Barkok,4,0
137,Nils Schmäler,4,0
137,Igor Belanow,4,0
137,Theodor Homann,4,0
137,Marcel Rath,4,0
137,Jürgen Luginger,4,0
137,Klaus Vöhringer,4,0
137,Sebastian Hähnge,4,0
137,Andreas Jakobsson,4,0
137,Jiří Kaufman,4,0
137,Marco Villa,4,0
137,Luboš Kubík,4,0
137,Dieter Versen,4,0
137,Rainer Rauffmann,4,0
137,Steffen Heidrich,4,0
137,Hermann Gerland,4,0
137,Gerd Becker,4,0
137,Frank Thommessen,4,0
137,Anton Regh,4,0
137,Emil Berggreen,4,0
137,Danny da Costa,4,0
137,Eduard Buckmaier,4,0
137,Richard Albrecht,4,0
137,Rocco Milde,4,0
137,Andreas Voglsammer,4,0
137,Adam Matuszczyk,4,0
137,Filip Tapalovic,4,0
137,Takuma Asano,4,0
137,Robin Koch,4,0
137,Anatoli Timoschtschuk,4,0
137,Matthias Zimmermann,4,0
137,René Botteron,4,0
137,Roger Magnusson,4,0
137,Ragnar Klavan,4,0
137,Alois Schwartz,4,0
137,Gerhard Wanner,4,0
137,Dan-Axel Zagadou,4,0
137,Patrick Ochs,4,0
137,Paul Dörflinger,4,0
137,Lasse Sobiech,4,0
137,Martin Meichelbeck,4,0
137,Andrija Ankovic,4,0
137,Charles Takyi,4,0
137,Darko Pančev,4,0
137,Uwe Behrens,4,0
137,Erwin Metzger,4,0
137,Timm Klose,4,0
137,Tiago Tomás,4,0
137,Marcel Ketelaer,4,0
137,Friedel Lutz,4,0
137,Luc Castaignos,4,0
137,Iago,4,0
137,Darko Dražić,4,0
137,Thomas Broich,4,0
137,Ulrich van den Berg,4,0
137,Dominique Heintz,4,0
137,Matthias Westerwinter,4,0
137,Uwe Dittus,4,0
137,Mikael Ishak,4,0
137,Patrik Berger,4,0
137,Werner Kriegler,4,0
137,Klaus-Dieter Jank,4,0
137,Frank Schmöller,4,0
137,Ole Rasmussen,4,0
137,Ivica Jozić,4,0
137,Christian Eichner,4,0
137,Matthias Becker,4,0
137,Herbert Reiss,4,0
137,Helmut Siber,4,0
137,Josip Šimunić,4,0
137,Rüdiger Kauf,4,0
137,Niklas Skoog,4,0
137,Sebastian Boenisch,4,0
137,Adam Nemec,4,0
137,Werner Rinas,4,0
137,Vieirinha,4,0
137,Rainer Scharinger,4,0
137,Wulf-Ingo Usbeck,4,0
137,Oliver Held,4,0
137,Klaus Müller,4,0
137,Thilo Kehrer,4,0
137,Roman Týce,4,0
137,Holger Anthes,4,0
137,Miodrag Živaljević,4,0
137,Horst Schmidt,4,0
137,Bastian Hellberg,4,0
137,Horst Waclawiak,4,0
137,Niko Gießelmann,4,0
137,Hartmut Fromm,4,0
137,Dedryck Boyata,4,0
137,Murdo MacLeod,4,0
137,Norbert Leopoldseder,4,0
137,Günter Weber,4,0
137,Jan Hochscheidt,4,0
137,Manuel Akanji,4,0
137,Danny Blum,4,0
137,Karim Bagheri,4,0
137,Helmut Nerlinger,4,0
137,Gerhard Schrader,4,0
137,Tuta,4,0
137,Emil Jula,4,0
137,Jochen Kientz,4,0
137,Stefan Kuhn,4,0
137,Gerd Klier,4,0
137,Gunther Schepens,4,0
137,Adam Hloušek,4,0
137,Harald Beck,4,0
137,Alban Wüst,4,0
137,Jude Bellingham,4,0
137,Conor Casey,4,0
137,Evanilson,4,0
137,Stefan Böger,4,0
137,Jochen Heisig,4,0
137,Herbert Demange,4,0
137,Florin Răducioiu,4,0
137,Poul-Erik Thygesen,4,0
137,Pierre Kunde,4,0
137,Percy Olivares,4,0
137,Jürgen Täuber,4,0
137,Jessic Ngankam,4,0
137,Kevin McKenna,4,0
137,Marcelo Pletsch,4,0
137,Harry Fechner,4,0
137,Ludwig Lang,4,0
137,Jae-Sung Lee,4,0
137,Martin Amedick,4,0
137,Konstantinos Mavropanos,4,0
137,Geromel,4,0
137,Lothar Wesseler,4,0
137,Silvan Widmer,4,0
137,Nesat Gülünoglu,4,0
137,Carsten Cullmann,4,0
137,Marco Küntzel,4,0
137,Peter Pekarík,4,0
137,Sergej Gorlukowitsch,4,0
137,Sanny Åslund,4,0
137,Junior,4,0
137,Paul Hahn,4,0
137,Bernd Hoffmann,4,0
137,Shawn Parker,4,0
137,Horst Raubold,4,0
137,Udo Nix,4,0
137,Waleri Domowtschijski,4,0
137,Uwe Bühler,4,0
137,Tarik Elyounoussi,4,0
137,Dimitrios Grammozis,4,0
137,Joachim Hopp,4,0
137,Morten Skoubo,4,0
137,Alfredo Morales,4,0
137,Werner Kaiser,4,0
137,Thomas Puschmann,4,0
137,Zoran Mamić,4,0
137,Pavel Krmas,4,0
137,Daniel Halfar,4,0
137,Dawid Kownacki,4,0
137,Alexander Bugera,4,0
137,Hans Schmidradner,4,0
137,Dirk Schlegel,4,0
137,Guido Erhard,4,0
137,Herbert Weinberg,4,0
137,Alexander Kutschera,4,0
137,Robert Pötzschke,4,0
137,Moritz Stoppelkamp,4,0
137,Santiago García,4,0
137,Jiayi Shao,4,0
137,Steven Skrzybski,4,0
137,Gerd Krug,4,0
137,André Hoffmann,4,0
137,Thomas Herbst,4,0
137,Josef Sarroca,4,0
137,Weston McKennie,4,0
137,Raoul Tagliari,4,0
137,Kaj Poulsen,4,0
137,Daniel Jurgeleit,4,0
137,Christian Gross,4,0
137,Marco Terrazzino,4,0
137,Solomon Okoronkwo,4,0
137,Matthias Baranowski,4,0
137,Joshua Zirkzee,4,0
137,Kevin Schade,4,0
137,Christoph Metzelder,4,0
137,Igli Tare,4,0
137,Wolfgang Kulka,4,0
137,Ferenc Schmidt,4,0
137,Pavel Chaloupka,4,0
137,Tomás Galásek,4,0
137,Hans Haunstein,4,0
137,Alfred Herberth,4,0
137,Roman Sedláček,4,0
137,Francis Kioyo,4,0
137,Allan Hansen,4,0
137,Roy Beerens,4,0
137,Christoph Budde,4,0
137,Claudiu Niculescu,4,0
137,Mathias Hönerbach,4,0
137,Dieter Stinka,4,0
137,Jeffrey Bruma,4,0
137,Dieter Zembski,4,0
137,Gerd Peehs,4,0
137,Paul Pidancet,4,0
137,Marcus Allbäck,4,0
137,Holger Stanislawski,4,0
137,Guido Szesni,4,0
137,Erwin Glod,4,0
137,Fabrice Ehret,4,0
137,Jan Eriksson,4,0
137,Håvard Nielsen,4,0
137,Frank Edmond,4,0
137,Lars Schmidt,4,0
137,Nikolaj Pisarew,4,0
137,Peter Kupferschmidt,4,0
137,Bernd Korzynietz,4,0
137,Aleksander Knavs,4,0
137,Martin Braun,4,1
137,Anthony Baffoe,4,1
137,Lars Ellmerich,4,1
137,Alexander Baumjohann,4,1
137,Luizão,4,1
137,Milos Pantovic,4,1
137,Antonio-Mirko Čolak,4,1
137,Abdelhamid Sabiri,4,1
137,Peter Nielsen,4,1
137,Kjetil Rekdal,4,2
137,Serhou Guirassy,4,2
137,Matthias Maucksch,4,2
137,Hanno Behrens,4,2
137,Aron Jóhannsson,4,2
137,Juan Sorín,4,2
137,Thomas Ritter,4,2
137,Jaouhar Mnari,4,2
137,Pável Pardo,4,3
137,Karl Werner,4,3
137,Hans-Josef Hellingrath,4,4
137,Michael Nushöhr,4,4
138,Jimmy Briand,3,0
138,Thomas Hoersen,3,0
138,Bodo Schmidt,3,0
138,Stefan Persigehl,3,0
138,Janni Serra,3,0
138,Ben Zolinski,3,0
138,Manfred Wagner,3,0
138,Fabian Boll,3,0
138,Werner Grau,3,0
138,Christian Bassila,3,0
138,Hans-Günther Plücken,3,0
138,Rudolf Sturz,3,0
138,Oliver Schröder,3,0
138,Michael Wollitz,3,0
138,Romain Brégerie,3,0
138,Vidar Riseth,3,0
138,Andrij Jarmolenko,3,0
138,Juan Bernat,3,0
138,Marcel Schmelzer,3,0
138,Dirk Lehmann,3,0
138,Stefan Kühlhorn,3,0
138,Eberhard Pfisterer,3,0
138,Thomas Meunier,3,0
138,Ali Karimi,3,0
138,Harald Katemann,3,0
138,Marco Zallmann,3,0
138,Xaver Schlager,3,0
138,Aleksandar Dragović,3,0
138,Jörg Schuberth,3,0
138,Jeremiah St. Juste,3,0
138,Claus Thomsen,3,0
138,Simon Kjær,3,0
138,Juri Schlünz,3,0
138,Rolf Wüthrich,3,0
138,Alphonse Tchami,3,0
138,Bo Svensson,3,0
138,Oliver Freund,3,0
138,Bernd Dobiasch,3,0
138,Janosch Dziwior,3,0
138,Carsten Baumann,3,0
138,Samuel Slovák,3,0
138,Christoph Westerthaler,3,0
138,Helmut Müller,3,0
138,Matthias Zimmermann,3,0
138,Hans-Georg Tutschek,3,0
138,Miroslav Baránek,3,0
138,Justin Kluivert,3,0
138,Adam Bodzek,3,0
138,Maximilian Nicu,3,0
138,Josef Stering,3,0
138,Dieter Fern,3,0
138,Hervé Nzelo-Lembi,3,0
138,Jürgen-Michael Galbierz,3,0
138,Isaac Vorsah,3,0
138,Marek Penksa,3,0
138,Mijat Gaćinović,3,0
138,Tobias Homp,3,0
138,Jurgen Ekkelenkamp,3,0
138,Rubén Sosa,3,0
138,Hermann-Dieter Bellut,3,0
138,Ajdin Hrustic,3,0
138,Jean-Pierre Papin,3,0
138,Georg Beichle,3,0
138,Herbert Meyer,3,0
138,Lothar Dupke,3,0
138,Vilmos Sebők,3,0
138,Andreas Brandts,3,0
138,Nicklas Bendtner,3,0
138,Maicosuel,3,0
138,José António,3,0
138,Dirk Greiser,3,0
138,Jeremy Toljan,3,0
138,Sascha Wolf,3,0
138,Wolfram Kaminke,3,0
138,Armin Veh,3,0
138,Klaus Senger,3,0
138,Stefan Ilsanker,3,0
138,Fabian Lustenberger,3,0
138,Hilmar Weilandt,3,0
138,Michael Struckmann,3,0
138,Matthias Brücken,3,0
138,Ismail Jakobs,3,0
138,Abdou Diallo,3,0
138,Uwe Ehlers,3,0
138,Jürgen Makan,3,0
138,Marvin Matip,3,0
138,Jürgen Wilhelm,3,0
138,Thomas Vana,3,0
138,Lutz Siebrecht,3,0
138,Karl Meng,3,0
138,Bernhard Raab,3,0
138,Marcus Feinbier,3,0
138,Karl-Heinz Kiß,3,0
138,Michael Krätzer,3,0
138,Rainer Scholz,3,0
138,Sami Hyypiä,3,0
138,Walter Posner,3,0
138,Erik Durm,3,0
138,Ümit Korkmaz,3,0
138,Helmut Bergfelder,3,0
138,Jens Duve,3,0
138,Johann Kondert,3,0
138,Malik Fathi,3,0
138,Pierre De Wit,3,0
138,Norbert Hofmann,3,0
138,Raffael Tonello,3,0
138,Helmut Zahn,3,0
138,Heinz Vollmar,3,0
138,João Victor,3,0
138,Frank Holzer,3,0
138,Jonny Hey,3,0
138,Walter Gawletta,3,0
138,Günter Schlipper,3,0
138,Kai Oswald,3,0
138,Stanislaw Angelow,3,0
138,Christian Poulsen,3,0
138,Gerhard Kraft,3,0
138,János Mátyus,3,0
138,Hans-Jürgen Brunner,3,0
138,Marcelo,3,0
138,Wellington,3,0
138,Manfred Lefkes,3,0
138,Ernst Abbé,3,0
138,Fritz Boyens,3,0
138,Faton Toski,3,0
138,Alfred Horn,3,0
138,Lucas Tousart,3,0
138,Thorsten Judt,3,0
138,Lennart Larsson,3,0
138,Lothar Skala,3,0
138,Jonathan de Guzmán,3,0
138,Mike Lünsmann,3,0
138,Chris Katongo,3,0
138,Stefan Malz,3,0
138,Kai-Erik Herlovsen,3,0
138,Kevin Akpoguma,3,0
138,Itay Shechter,3,0
138,Thomas Kruse,3,0
138,Florian Dick,3,0
138,Jakob Drescher,3,0
138,Fred Klaus,3,0
138,Dirk Weetendorf,3,0
138,Ivica Iliev,3,0
138,Joachim Stadler,3,0
138,Heiko Butscher,3,0
138,Oliver Otto,3,0
138,Jürgen Papies,3,0
138,Lothar Groß,3,0
138,Felipe,3,0
138,Marco Dittgen,3,0
138,Diego Placente,3,0
138,Steffen Tigges,3,0
138,Yves Eigenrauch,3,0
138,Joachim Thimm,3,0
138,Radomir Đalović,3,0
138,Marco Rose,3,0
138,Leandro Barreiro Martins,3,0
138,Stefan Meissner,3,0
138,Eberhard Borchert,3,0
138,Jean-Philippe Gbamin,3,0
138,Alexandru Sătmăreanu,3,0
138,Aleksandar Ristić,3,0
138,Chris Führich,3,0
138,Edmond Kapllani,3,0
138,Slobodan Rajković,3,0
138,Sinan Kaloğlu,3,0
138,Ludwig Schuster,3,0
138,Siegfried Beyer,3,0
138,Thomas Lander,3,0
138,Takashi Usami,3,0
138,Bastian Oczipka,3,0
138,Olaf Dressel,3,0
138,Markus Steinhöfer,3,0
138,Lothar Zeh,3,0
138,Brian O'Neil,3,0
138,Stevan Bena,3,0
138,Günter Kutowski,3,0
138,Ralf Regenbogen,3,0
138,Reiner Plaßhenrich,3,0
138,Patrick Wimmer,3,0
138,Delano Hill,3,0
138,Steffen Korell,3,0
138,Istvan Sztani,3,0
138,Amine Adli,3,0
138,Peter Loof,3,0
138,Christopher Trimmel,3,0
138,Sven Christians,3,0
138,Lars Lunde,3,0
138,William,3,0
138,Bradley Carnell,3,0
138,Omar Marmoush,3,0
138,Assani Lukimya,3,0
138,Christian Werner,3,0
138,Kevin Mbabu,3,0
138,Rachid Azzouzi,3,0
138,Djibril Sow,3,0
138,Emir Spahić,3,0
138,Steffen Karl,3,0
138,Álvaro Domínguez,3,0
138,Andrew Sinkala,3,0
138,Hajime Hosogai,3,0
138,Michael Klauß,3,0
138,Matheus Pereira,3,0
138,Tim Matavž,3,0
138,Tamás Bódog,3,0
138,Peter Fenten,3,0
138,Jens Melzig,3,0
138,Khalid Boulahrouz,3,0
138,Victor Ikpeba,3,0
138,Dejan Ljubicic,3,0
138,Kevin Danso,3,0
138,Oliver Sorg,3,0
138,Werner Thelen,3,0
138,Michael Dämgen,3,0
138,Heinz Schrodt,3,0
138,Rob Maas,3,0
138,Christoph Moritz,3,0
138,Daniel Gunkel,3,0
138,Rainer Gebauer,3,0
138,Reinhold Fanz,3,0
138,Georg Müllner,3,0
138,Horst Neumann,3,0
138,Walace,3,0
138,Ciro Immobile,3,0
138,Thomas Stehle,3,0
138,Rayk Schröder,3,0
138,Rodnei,3,0
138,Jürgen Weidlandt,3,0
138,Helmut Siebert,3,0
138,Julian Weigl,3,0
138,Klaus Perfetto,3,0
138,Orestes,3,0
138,Walter Frosch,3,0
138,Michael Hubner,3,0
138,Karim Rekik,3,0
138,Holger Badstuber,3,0
138,Konrad Eickels,3,0
138,Karl-Heinz Artmann,3,0
138,Armin Kraaz,3,0
138,Dragoslav Stepanović,3,0
138,Vicente Sánchez,3,0
138,Rolf Höfert,3,0
138,Werner Tenbruck,3,0
138,Hannes Reinmayr,3,0
138,Peter Berg,3,0
138,Benjamin Henrichs,3,0
138,Markus Schopp,3,0
138,Kevin Vogt,3,0
138,Andree Wiedener,3,0
138,Hannes Wolf,3,0
138,Marco Walker,3,0
138,Uwe Höfer,3,0
138,David Raum,3,0
138,Christopher Lamprecht,3,0
138,Cedric Teuchert,3,0
138,Mario Kontny,3,0
138,Herbert Höbusch,3,0
138,Petri Pasanen,3,0
138,Almami Moreira,3,0
138,Bryan Roy,3,0
138,Wilhelm Mense,3,0
138,Dennis Aogo,3,0
138,Rudolf Pöggeler,3,0
138,Kurt Dachlauer,3,0
138,Aleksandar Vasoski,3,0
138,Kreso Kovacec,3,0
138,Friedhelm Dick,3,0
138,Jörn Kaminke,3,0
138,Werner Haaga,3,0
138,Uwe Hünemeier,3,1
138,Rudolf Kröner,3,1
138,Bernd Grabosch,3,1
138,Janusz Góra,3,1
138,Geovani Silva,3,1
138,Hami Mandıralı,3,1
138,Jurado,3,1
138,Egbert ter Mors,3,1
138,Klaus Bockisch,3,1
138,Torben Hoffmann,3,1
138,Florian Klein,3,1
138,Martin Giesel,3,1
138,Jens Wahl,3,1
138,Alban Meha,3,1
138,Lodewijk Roembiak,3,2
138,Dusan Petković,3,2
138,Ansgar Brinkmann,3,2
138,Georg Metzger,3,2
138,Dieter Brefort,3,2
138,Peter Pacult,3,2
138,Otto Laszig,3,2
138,Detlef Schößler,3,2
138,Vlatko Glavaš,3,2
138,Erich Leist,3,3
139,Ibrahima Konate,2,0
139,Peter Klimke,2,0
139,Heinz Crawatzo,2,0
139,Gōtoku Sakai,2,0
139,Lukas Schmitz,2,0
139,Wolfgang Lex,2,0
139,Andreas Mate,2,0
139,Serge Branco,2,0
139,Cristian Fiél,2,0
139,Sebastian Schonlau,2,0
139,Maniche,2,0
139,Dmitri Bulykin,2,0
139,Christian Müller,2,0
139,Émerson,2,0
139,Fallou Diagné,2,0
139,Júnior Díaz,2,0
139,Mario Boljat,2,0
139,Peter Woldmann,2,0
139,Robert Glatzel,2,0
139,Lucien Mettomo,2,0
139,Michael Dahms,2,0
139,Edhem Sljivo,2,0
139,Pascal Stenzel,2,0
139,Hubert Clute-Simon,2,0
139,Helmut Hilpert,2,0
139,Marcel Tisserand,2,0
139,Mahir Sağlık,2,0
139,Kai Bülow,2,0
139,Mac Younga-Mouhani,2,0
139,Helmut Heeren,2,0
139,Ryan Sessegnon,2,0
139,Levent Aycicek,2,0
139,Nigel de Jong,2,0
139,Günther Reinders,2,0
139,Juan Cayasso,2,0
139,Andrzej Iwan,2,0
139,Hans Sprenger,2,0
139,Sonny Kittel,2,0
139,Christoph Walter,2,0
139,Jann-Fiete Arp,2,0
139,Morten Rasmussen,2,0
139,Toni Puszamszies,2,0
139,Marin Pongracic,2,0
139,Siegfried Köstler,2,0
139,Heiko Kurth,2,0
139,Niklas Moisander,2,0
139,Samuel Koejoe,2,0
139,Michael Mason,2,0
139,Arouna Koné,2,0
139,Jörn Großkopf,2,0
139,Norbert Brinkmann,2,0
139,Helmut Dietterle,2,0
139,Gerald Vanenburg,2,0
139,Matthias Hamann,2,0
139,Albert Bittlmayer,2,0
139,Hans Rigotti,2,0
139,Pierre-Emile Højbjerg,2,0
139,Bartosz Bialek,2,0
139,Kevin Hofland,2,0
139,Dennis Kruppke,2,0
139,Oumar Kondé,2,0
139,Tanguy Coulibaly,2,0
139,Felix Platte,2,0
139,Antal Nagy,2,0
139,Stjepan Milardovic,2,0
139,Franz Emans,2,0
139,Sead Kapetanović,2,0
139,Jürgen Koch,2,0
139,Robert Bauer,2,0
139,Blagoj Georgiew,2,0
139,Kasper Bøgelund,2,0
139,Dirk Dammann,2,0
139,Maik Wagefeld,2,0
139,Kouadio Manu Kone,2,0
139,Marcel de Jong,2,0
139,Charlison Benschop,2,0
139,Carsten Klee,2,0
139,Günter Rademacher,2,0
139,Lukas Klünter,2,0
139,Medhi Benatia,2,0
139,Tobias Weis,2,0
139,Thomas Richter,2,0
139,Aster Vranckx,2,0
139,Jorge Meré,2,0
139,Ibrahim Afellay,2,0
139,Michél Mazingu-Dinzey,2,0
139,Peter Stocker,2,0
139,Harry Bähre,2,0
139,Orel Mangala,2,0
139,Stéphane Henchoz,2,0
139,Michael Schuhmacher,2,0
139,Dragoslav Šekularac,2,0
139,Florian Hinterberger,2,0
139,Heinz Henkes,2,0
139,Maximilian Mittelstädt,2,0
139,Stephan Hain,2,0
139,Mineiro,2,0
139,Mattéo Guendouzi,2,0
139,Markus Mohren,2,0
139,Johan Djourou,2,0
139,Markus Bollmann,2,0
139,Uwe Bindewald,2,0
139,Marcão,2,0
139,Marcelo Carracedo,2,0
139,Günter Seibold,2,0
139,Julian Korb,2,0
139,Lászlo Bénes,2,0
139,Marko Pjaca,2,0
139,Fritz Lehmann,2,0
139,Manfred Müller,2,0
139,Sven Benken,2,0
139,Jürgen Berghaus,2,0
139,Frank Plagge,2,0
139,Yacine Abdessadki,2,0
139,André Lima,2,0
139,Matthias Imhof,2,0
139,Kevin Behrens,2,0
139,Sebastian Jung,2,0
139,Thorsten Bolzek,2,0
139,Lukas Kübler,2,0
139,Mathis Bolly,2,0
139,Ralf Becker,2,0
139,Christopher Antwi-Adjei,2,0
139,Nico Frommer,2,0
139,Chiquinho,2,0
139,Niels Schlotterbeck,2,0
139,Bernd Beck,2,0
139,Petar Slišković,2,0
139,Cedric Jan Itten,2,0
139,Ingo Hertzsch,2,0
139,Jean-Kasongo Banza,2,0
139,Thorsten Schlumberger,2,0
139,Eduardo Vargas,2,0
139,Jochen Endress,2,0
139,Ivica Mornar,2,0
139,Jürgen Dudda,2,0
139,Hans-Jürgen Heidenreich,2,0
139,Andi Zeqiri,2,0
139,Heinz Pliska,2,0
139,Jens Petter Hauge,2,0
139,Benedikt Saller,2,0
139,Rudi Skácel,2,0
139,Dietmar Schwager,2,0
139,Benjamin Kessel,2,0
139,Rudolf Steiner,2,0
139,Roberto Massimo,2,0
139,Uwe Igler,2,0
139,Emiliano Insúa,2,0
139,Stefan Lex,2,0
139,Chadli Amri,2,0
139,Berkant Göktan,2,0
139,Erik Andersen,2,0
139,Selçuk Yula,2,0
139,Philipp Klement,2,0
139,Denis Epstein,2,0
139,Hamadi Al Ghaddioui,2,0
139,Noah-Joel Sarenren-Bazee,2,0
139,Tobias Levels,2,0
139,Joonas Kolkka,2,0
139,Dieter Seeler,2,0
139,Burak Kaplan,2,0
139,Horst Stockhausen,2,0
139,Werner Kubek,2,0
139,Júnior Baiano,2,0
139,Theo Redder,2,0
139,Prince Tagoe,2,0
139,Friedrich Zipperer,2,0
139,Rafael Czichos,2,0
139,Ansgar Knauff,2,0
139,Niki Zimling,2,0
139,Lukas Sinkiewicz,2,0
139,David Odonkor,2,0
139,Werner Olk,2,0
139,Gelson Fernandes,2,0
139,Heikko Glöde,2,0
139,Roman Hubník,2,0
139,Josué,2,0
139,Henning Bürger,2,0
139,Stefan Dinauer,2,0
139,Francisco Rodríguez,2,0
139,Peter Kaack,2,0
139,Ralf Augustin,2,0
139,David Wagner,2,0
139,Hans-Jürgen Becher,2,0
139,Almamy Touré,2,0
139,Julian de Guzman,2,0
139,Peer Posipal,2,0
139,Karl-Heinz Mödrath,2,0
139,Stefan Posch,2,0
139,Željko Sopić,2,0
139,Bernhard Olck,2,0
139,Reece Oxford,2,0
139,Richard Kreß,2,0
139,Jacob Laursen,2,0
139,Miloš Veljković,2,0
139,Arkadiusz Milik,2,0
139,Anthony Losilla,2,0
139,Joshua Brenet,2,0
139,David Kobylik,2,0
139,Hans-Joachim Andree,2,0
139,Friedel Reuther,2,0
139,Paweł Wojtala,2,0
139,Çağdaş Atan,2,0
139,Horst Saida,2,0
139,Antonio Rüdiger,2,0
139,Florent Muslija,2,0
139,Jeong-Ho Hong,2,0
139,Per Skjelbred,2,0
139,Márcio Borges,2,0
139,Dieter Schulz,2,0
139,Edi Glieder,2,0
139,Ferdinand Heidkamp,2,0
139,Helmut Schmidt,2,0
139,Federico Palacios Martínez,2,0
139,Markus von Ahlen,2,0
139,Josef Weilbächer,2,0
139,Sławomir Peszko,2,0
139,Achim Wilbois,2,0
139,Vanco Balevski,2,0
139,Erwin Piechowiak,2,0
139,Wesley,2,0
139,David Degen,2,0
139,Peter Engler,2,0
139,Peter Pumm,2,0
139,Christian Beeck,2,0
139,Holger Dieckmann,2,0
139,Leonardo Manzi,2,0
139,Frank Saborowski,2,0
139,Serhij Dichtjar,2,0
139,Exequiel Palacios,2,0
139,Adam Zrelak,2,0
139,Ahmed Hosny,2,0
139,Friedhelm Otters,2,0
139,Papy Djilobodji,2,0
139,Dirk Kontny,2,0
139,Julian Ryerson,2,0
139,Fábio Júnior,2,0
139,Joakim Nilsson,2,0
139,Rainer Skrotzki,2,0
139,Younès Belhanda,2,0
139,Mario Kern,2,0
139,Jean-Santos Muntubila,2,0
139,Roman Geschlecht,2,0
139,Karlheinz Höfer,2,0
139,Winfried Mittrowski,2,0
139,Tomáš Ujfaluši,2,0
139,Nico Herzig,2,0
139,Tim Kleindienst,2,0
139,Matthias Stammann,2,0
139,Horst Wenzel,2,0
139,Morten Olsen,2,0
139,Felix Passlack,2,0
139,Heinz Stauvermann,2,0
139,Wolfgang Neumann,2,0
139,Oliver Barth,2,0
139,Mišo Brečko,2,0
139,Horst Knauf,2,0
139,Lars Jungnickel,2,0
139,Alejandro Gálvez,2,0
139,Erik Jendrišek,2,0
139,Bernhard Metz,2,0
139,Federico Insúa,2,0
139,Abédi Pelé,2,0
139,Ludwig Augustinsson,2,0
139,Ranisav Jovanović,2,0
139,Cléber Reis,2,0
139,Alexander Laas,2,0
139,Georg Margreitter,2,0
139,Sascha Dum,2,0
139,Willi Wagner,2,0
139,Michael Mifsud,2,0
139,Manuel Schmiedebach,2,0
139,José Sosa,2,0
139,Marcel Ziemer,2,0
139,Petar Chubtschew,2,0
139,Peter Dahl,2,0
139,Steve Gohouri,2,0
139,Michael Rösele,2,0
139,Helmut Vorreiter,2,0
139,Thomas Kleine,2,0
139,Jung-Hwan Ahn,2,0
139,Norbert Dörmann,2,0
139,Louis Schaub,2,0
139,Tolgay Arslan,2,0
139,Murat Yakin,2,0
139,Thomas Winter,2,0
139,Peter Graulund,2,0
139,Tim Lemperle,2,0
139,Uwe Schreml,2,0
139,Hiroki Sakai,2,0
139,Peter Enders,2,0
139,Hans Sarpei,2,0
139,Kai Herdling,2,0
139,Sebastian Schoof,2,0
139,Junior Malanda,2,0
139,Dirk Riechmann,2,0
139,Christian Peukert,2,0
139,Sandro Sirigu,2,0
139,Carsten Keuler,2,0
139,Hermann Höfer,2,0
139,Diadie Samassekou,2,0
139,Robert Vagner,2,0
139,Klaus Amrath,2,0
139,Salih Özcan,2,0
139,Mads Pedersen,2,0
139,Steen Thychosen,2,0
139,Marvin Ducksch,2,0
139,Dorge Kouemaha,2,0
139,Denis Lapaczinski,2,0
139,Andrzej Lesiak,2,0
139,Thomas Adler,2,0
139,Rudolf Wójtowicz,2,0
139,Marvin Bakalorz,2,0
139,Izet Hajrovic,2,0
139,Peter Gruber,2,0
139,Tim Sebastian,2,0
139,Ivan Zugcic,2,0
139,Petr Gabriel,2,0
139,Leandro,2,0
139,Marc Arnold,2,0
139,Emanuel Pogatetz,2,0
139,Rabbi Matondo,2,0
139,Günther Michl,2,0
139,Manfred Reichert,2,0
139,Klaus Gjasula,2,0
139,Rodrigo Costa,2,0
139,Michael Grünewald,2,0
139,Bent Jan Jensen,2,0
139,Helmut Schimeczek,2,0
139,Chang-Hoon Kwon,2,0
139,Pierre Womé,2,0
139,Uwe Haas,2,0
139,Niclas Kindvall,2,0
139,Stefan Buck,2,0
139,Felix Uduokhai,2,0
139,Jörg Schwanke,2,0
139,Wolfgang Rosenfeldt,2,0
139,Holger Greilich,2,0
139,Erik Willaarts,2,0
139,Uwe Grauer,2,0
139,Reiner Edelmann,2,0
139,Niclas Jensen,2,0
139,Harry Gniech,2,0
139,Dirk van der Ven,2,0
139,Horst Leupold,2,0
139,Edmond Tapsoba,2,0
139,Christian Lell,2,0
139,Olaf Schreiber,2,0
139,Norbert Hof,2,0
139,Peter Rühmkorb,2,0
139,Jeremy Dudziak,2,0
139,Cauly Oliveira Souza,2,0
139,Pétur Ormslev,2,0
139,Jonjoe Kenny,2,0
139,Timo Baumgartl,2,0
139,Thomas Zampach,2,0
139,Bernd Eigner,2,0
139,Thomas Klepper,2,0
139,Dieter Heinrichs,2,0
139,Andreas Gielchen,2,0
139,Detsi Kruszyński,2,0
139,Heiner Klose,2,0
139,Marc Bartra,2,0
139,Michal Papadopulos,2,0
139,Kai Pröger,2,0
139,Lucas Piazón,2,0
139,Hans-Jürgen Gede,2,0
