Spieler,DFB_id,link,Nation,Nationalelf
Jürgen Billmann,42518,https://datencenter.dfb.de/profil/42518,['Deutschland'],Deutschland
Stefan Schmitt,45757,https://datencenter.dfb.de/profil/45757,['Deutschland'],Deutschland
Hans-Jürgen Baake,44671,https://datencenter.dfb.de/profil/44671,['Deutschland'],Deutschland
Julio Baylon,44563,https://datencenter.dfb.de/profil/44563,['Peru'],Peru
Gerd Kohl,42677,https://datencenter.dfb.de/profil/42677,['Deutschland'],Deutschland
Erwin Jung,42652,https://datencenter.dfb.de/profil/42652,['Deutschland'],Deutschland
Jetro Willems,253512,https://datencenter.dfb.de/profil/253512,['Niederlande'],Niederlande
Eduard Kirschner,44781,https://datencenter.dfb.de/profil/44781,['Deutschland'],Deutschland
Rolf Bauerkämper,44558,https://datencenter.dfb.de/profil/44558,['Deutschland'],Deutschland
Kurt Ritter,44150,https://datencenter.dfb.de/profil/44150,['Deutschland'],Deutschland
Jiloan Hamad,18569,https://datencenter.dfb.de/profil/18569,"['Schweden', 'Irak']",Schweden
Garra Dembélé,65818,https://datencenter.dfb.de/profil/65818,"['Mali', 'Frankreich']",Mali
Tobias Damm,29536,https://datencenter.dfb.de/profil/29536,['Deutschland'],Deutschland
Mats Lilienberg,46975,https://datencenter.dfb.de/profil/46975,['Schweden'],Schweden
Karl-Heinz Emig,43371,https://datencenter.dfb.de/profil/43371,['Deutschland'],Deutschland
Sardar Azmoun,241479,https://datencenter.dfb.de/profil/241479,['Iran'],Iran
Douglas Santos,284228,https://datencenter.dfb.de/profil/284228,['Brasilien'],Brasilien
Gerd Regitz,43818,https://datencenter.dfb.de/profil/43818,['Deutschland'],Deutschland
Serey Die,10568,https://datencenter.dfb.de/profil/10568,"[""Elfenbeinküste (Côte d'Ivoire)""]",Elfenbeinküste (Côte d'Ivoire)
Mirko Boland,19092,https://datencenter.dfb.de/profil/19092,['Deutschland'],Deutschland
Ilijan Mizanski,19809,https://datencenter.dfb.de/profil/19809,['Bulgarien'],Bulgarien
Reiner Alhaus,44961,https://datencenter.dfb.de/profil/44961,['Deutschland'],Deutschland
Pablo Quattrocchi,46101,https://datencenter.dfb.de/profil/46101,"['Argentinien', 'Italien']",Argentinien
Dieter Hochheimer,44489,https://datencenter.dfb.de/profil/44489,['Deutschland'],Deutschland
Claus Vogler,42583,https://datencenter.dfb.de/profil/42583,['Deutschland'],Deutschland
Panagiotis Retsos,363484,https://datencenter.dfb.de/profil/363484,['Griechenland'],Griechenland
Thomas Cichon,28458,https://datencenter.dfb.de/profil/28458,['Deutschland'],Deutschland
Frank Kastner,47534,https://datencenter.dfb.de/profil/47534,['Deutschland'],Deutschland
Alexander Fuchs,337031,https://datencenter.dfb.de/profil/337031,['Deutschland'],Deutschland
Günter Karnhof,42547,https://datencenter.dfb.de/profil/42547,['Deutschland'],Deutschland
Odise Roshi,158085,https://datencenter.dfb.de/profil/158085,['Albanien'],Albanien
Tobias Rau,1881,https://datencenter.dfb.de/profil/1881,['Deutschland'],Deutschland
Lukas Mühl,336439,https://datencenter.dfb.de/profil/336439,['Deutschland'],Deutschland
Sören Seidel,3913,https://datencenter.dfb.de/profil/3913,['Deutschland'],Deutschland
Gaëtan Bussmann,223866,https://datencenter.dfb.de/profil/223866,['Frankreich'],Frankreich
Omar Elabdellaoui,235257,https://datencenter.dfb.de/profil/235257,['Norwegen'],Norwegen
Daniel Brinkmann,1452,https://datencenter.dfb.de/profil/1452,['Deutschland'],Deutschland
Mustafa Dogan,46456,https://datencenter.dfb.de/profil/46456,['Deutschland'],Deutschland
Frank Wolf,46088,https://datencenter.dfb.de/profil/46088,['Deutschland'],Deutschland
Rolf Dohmen,45289,https://datencenter.dfb.de/profil/45289,['Deutschland'],Deutschland
Reinhold Wischnowsky,43563,https://datencenter.dfb.de/profil/43563,['Deutschland'],Deutschland
Leo Wilden,43128,https://datencenter.dfb.de/profil/43128,['Deutschland'],Deutschland
Altin Lala,14557,https://datencenter.dfb.de/profil/14557,['Albanien'],Albanien
Rick Hoogendorp,1086,https://datencenter.dfb.de/profil/1086,['Niederlande'],Niederlande
Andreas Görlitz,16473,https://datencenter.dfb.de/profil/16473,['Deutschland'],Deutschland
Carsten Kober,46104,https://datencenter.dfb.de/profil/46104,['Deutschland'],Deutschland
Erich Hermesdorf,44042,https://datencenter.dfb.de/profil/44042,['Deutschland'],Deutschland
András Schäfer,399955,https://datencenter.dfb.de/profil/399955,['Ungarn'],Ungarn
Christian Prosenik,40779,https://datencenter.dfb.de/profil/40779,['Österreich'],Österreich
Jürgen Radschuweit,45805,https://datencenter.dfb.de/profil/45805,['Deutschland'],Deutschland
Erhan Önal,44784,https://datencenter.dfb.de/profil/44784,['Türkei'],Türkei
Rolf Kahn,43556,https://datencenter.dfb.de/profil/43556,"['Lettland', 'Deutschland']",Lettland
Denis Wolf,51497,https://datencenter.dfb.de/profil/51497,"['Philippinen', 'Deutschland']",Philippinen
Frank Weber,46963,https://datencenter.dfb.de/profil/46963,['Deutschland'],Deutschland
Linton Maina,353267,https://datencenter.dfb.de/profil/353267,['Deutschland'],Deutschland
Berkay Özcan,336389,https://datencenter.dfb.de/profil/336389,"['Türkei', 'Deutschland']",Türkei
Matias Cenci,12911,https://datencenter.dfb.de/profil/12911,"['Argentinien', 'Italien']",Argentinien
Rudolf Sandner,45415,https://datencenter.dfb.de/profil/45415,['Deutschland'],Deutschland
Mickaël Cuisance,368452,https://datencenter.dfb.de/profil/368452,['Frankreich'],Frankreich
Steve Marlet,46471,https://datencenter.dfb.de/profil/46471,['Frankreich'],Frankreich
Thomas Kläsener,9043,https://datencenter.dfb.de/profil/9043,['Deutschland'],Deutschland
Stefan Strerath,45841,https://datencenter.dfb.de/profil/45841,['Deutschland'],Deutschland
Lothar Geisler,42612,https://datencenter.dfb.de/profil/42612,['Deutschland'],Deutschland
Holger Wehlage,8085,https://datencenter.dfb.de/profil/8085,['Deutschland'],Deutschland
Zlatko Janjić,1875,https://datencenter.dfb.de/profil/1875,"['Deutschland', 'Bosnien-Herzegowina']",Deutschland
Mehmet Dragusha,232,https://datencenter.dfb.de/profil/232,['Albanien'],Albanien
Dragan Holcer,44905,https://datencenter.dfb.de/profil/44905,['Kroatien'],Kroatien
Frank Rost,14426,https://datencenter.dfb.de/profil/14426,['Deutschland'],Deutschland
Volkmar Groß,44153,https://datencenter.dfb.de/profil/44153,['Deutschland'],Deutschland
Babacar N'Diaye,211368,https://datencenter.dfb.de/profil/211368,,
Thomas Paulus,8489,https://datencenter.dfb.de/profil/8489,['Deutschland'],Deutschland
Mathias Kuhlmey,45581,https://datencenter.dfb.de/profil/45581,['Deutschland'],Deutschland
Josip Stanisic,380092,https://datencenter.dfb.de/profil/380092,['Deutschland'],Deutschland
Michael Lang,10631,https://datencenter.dfb.de/profil/10631,['Schweiz'],Schweiz
Steffen Handschuh,41766,https://datencenter.dfb.de/profil/41766,['Deutschland'],Deutschland
Anderson-Lenda Lucoqui,336352,https://datencenter.dfb.de/profil/336352,"['Deutschland', 'Angola']",Deutschland
Mohamed Dräger,263771,https://datencenter.dfb.de/profil/263771,['Tunesien'],Tunesien
Andreas Voss,41043,https://datencenter.dfb.de/profil/41043,['Deutschland'],Deutschland
Mario Posch,46871,https://datencenter.dfb.de/profil/46871,['Österreich'],Österreich
Uğur İnceman,28102,https://datencenter.dfb.de/profil/28102,"['Türkei', 'Deutschland']",Türkei
Werner Ohm,44262,https://datencenter.dfb.de/profil/44262,['Deutschland'],Deutschland
Carsten Linke,41073,https://datencenter.dfb.de/profil/41073,['Deutschland'],Deutschland
Wladlen Jurtschenko,241985,https://datencenter.dfb.de/profil/241985,['Ukraine'],Ukraine
Aníbal Matellán,1925,https://datencenter.dfb.de/profil/1925,['Argentinien'],Argentinien
Manfred Hellmann,45702,https://datencenter.dfb.de/profil/45702,['Deutschland'],Deutschland
Willi Bernecker,45312,https://datencenter.dfb.de/profil/45312,['Deutschland'],Deutschland
Cebio Soukou,230698,https://datencenter.dfb.de/profil/230698,"['Deutschland', 'Benin']",Deutschland
Marcel Eger,10644,https://datencenter.dfb.de/profil/10644,['Deutschland'],Deutschland
Erhan Albayrak,3274,https://datencenter.dfb.de/profil/3274,['Türkei'],Türkei
Dominik Kaiser,19622,https://datencenter.dfb.de/profil/19622,['Deutschland'],Deutschland
Julian Derstroff,229573,https://datencenter.dfb.de/profil/229573,['Deutschland'],Deutschland
Sebastian Reinert,102,https://datencenter.dfb.de/profil/102,['Deutschland'],Deutschland
Fabian Lamotte,25321,https://datencenter.dfb.de/profil/25321,['Deutschland'],Deutschland
Piotr Tyszkiewicz,42971,https://datencenter.dfb.de/profil/42971,['Polen'],Polen
Torsten Lieberknecht,8092,https://datencenter.dfb.de/profil/8092,['Deutschland'],Deutschland
Jan Männer,40757,https://datencenter.dfb.de/profil/40757,['Deutschland'],Deutschland
Uwe Erkenbrecher,43094,https://datencenter.dfb.de/profil/43094,['Deutschland'],Deutschland
Dieter Hentschel,44256,https://datencenter.dfb.de/profil/44256,['Deutschland'],Deutschland
Mikaël Silvestre,12753,https://datencenter.dfb.de/profil/12753,"['Frankreich', 'Guadeloupe']",Frankreich
Michael Sommer,43367,https://datencenter.dfb.de/profil/43367,['Deutschland'],Deutschland
Soma Novothny,267166,https://datencenter.dfb.de/profil/267166,['Ungarn'],Ungarn
Jürgen Hasebrink,44591,https://datencenter.dfb.de/profil/44591,['Deutschland'],Deutschland
Sambou Yatabaré,140127,https://datencenter.dfb.de/profil/140127,['Mali'],Mali
Joakim Persson,17328,https://datencenter.dfb.de/profil/17328,['Schweden'],Schweden
Kim Christensen,3080,https://datencenter.dfb.de/profil/3080,['Dänemark'],Dänemark
Daniel Felgenhauer,40894,https://datencenter.dfb.de/profil/40894,['Deutschland'],Deutschland
Fabian Schär,168116,https://datencenter.dfb.de/profil/168116,['Schweiz'],Schweiz
Harry Hartung,47488,https://datencenter.dfb.de/profil/47488,['Deutschland'],Deutschland
Thomas Miller,46970,https://datencenter.dfb.de/profil/46970,['Deutschland'],Deutschland
Heinz-Dieter Lömm,43840,https://datencenter.dfb.de/profil/43840,['Deutschland'],Deutschland
Leon Balogun,14542,https://datencenter.dfb.de/profil/14542,"['Nigeria', 'Deutschland']",Nigeria
Markus Thorandt,26800,https://datencenter.dfb.de/profil/26800,['Deutschland'],Deutschland
Patrick Paauwe,3881,https://datencenter.dfb.de/profil/3881,['Niederlande'],Niederlande
Philipp Degen,17998,https://datencenter.dfb.de/profil/17998,['Schweiz'],Schweiz
Jürgen Lange,45829,https://datencenter.dfb.de/profil/45829,['Deutschland'],Deutschland
Haji Wright,362689,https://datencenter.dfb.de/profil/362689,['USA'],USA
Paolo da Palma,46979,https://datencenter.dfb.de/profil/46979,['Deutschland'],Deutschland
Oliver Pagé,45804,https://datencenter.dfb.de/profil/45804,['Deutschland'],Deutschland
František Straka,5436,https://datencenter.dfb.de/profil/5436,['Tschechien'],Tschechien
Klaus Weber,44582,https://datencenter.dfb.de/profil/44582,['Deutschland'],Deutschland
Benjamin Lense,14596,https://datencenter.dfb.de/profil/14596,['Deutschland'],Deutschland
Emre Mor,369280,https://datencenter.dfb.de/profil/369280,"['Türkei', 'Dänemark']",Türkei
Herbert Bönnen,43629,https://datencenter.dfb.de/profil/43629,['Deutschland'],Deutschland
Tom Trybull,230795,https://datencenter.dfb.de/profil/230795,['Deutschland'],Deutschland
Deniz Naki,3155,https://datencenter.dfb.de/profil/3155,"['Deutschland', 'Türkei']",Deutschland
Kevin Hansen,8493,https://datencenter.dfb.de/profil/8493,['Deutschland'],Deutschland
Wolfgang Böhni,43961,https://datencenter.dfb.de/profil/43961,['Deutschland'],Deutschland
Danijel Stefulj,41076,https://datencenter.dfb.de/profil/41076,['Kroatien'],Kroatien
Federico Barba,209544,https://datencenter.dfb.de/profil/209544,['Italien'],Italien
Matthias Lust,24794,https://datencenter.dfb.de/profil/24794,['Deutschland'],Deutschland
Hans Otto Hiestermann,44679,https://datencenter.dfb.de/profil/44679,['Deutschland'],Deutschland
Jean Zimmer,229556,https://datencenter.dfb.de/profil/229556,['Deutschland'],Deutschland
Ammar Jemal,112987,https://datencenter.dfb.de/profil/112987,,
Mark Strudal,47568,https://datencenter.dfb.de/profil/47568,['Dänemark'],Dänemark
Oswald Semlits,47518,https://datencenter.dfb.de/profil/47518,['Deutschland'],Deutschland
